samplename,file,condition
GSM1249529_10011413_top_4B2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249529_10011413_top_4B2.gpr,X2006.07
GSM1249530_10011537_top_4B2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249530_10011537_top_4B2.gpr,X2006.07
GSM1249531_10011416_bot_4B3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249531_10011416_bot_4B3.gpr,X2006.07
GSM1249532_10011535_bot_4B3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249532_10011535_bot_4B3.gpr,X2006.07
GSM1249533_10010230_bot_4B4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249533_10010230_bot_4B4.gpr,X2006.07
GSM1249534_10010513_bot_4B4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249534_10010513_bot_4B4.gpr,X2006.07
GSM1249535_10011522_top_5A0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249535_10011522_top_5A0.gpr,X2007.08
GSM1249536_10011440_top_5A0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249536_10011440_top_5A0.gpr,X2007.08
GSM1249537_10011537_bot_5A1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249537_10011537_bot_5A1.gpr,X2007.08
GSM1249538_10010505_bot_5A1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249538_10010505_bot_5A1.gpr,X2007.08
GSM1249539_10011523_bot_5A2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249539_10011523_bot_5A2.gpr,X2007.08
GSM1249540_10011569_top_5A2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249540_10011569_top_5A2.gpr,X2007.08
GSM1249541_10011411_bot_5A3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249541_10011411_bot_5A3.gpr,X2007.08
GSM1249542_10010510_top_5A3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249542_10010510_top_5A3.gpr,X2007.08
GSM1249543_10011437_bot_5A4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249543_10011437_bot_5A4.gpr,X2007.08
GSM1249544_10010238_top_5A4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249544_10010238_top_5A4.gpr,X2007.08
GSM1249545_10010235_bot_5B0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249545_10010235_bot_5B0.gpr,X2007.08
GSM1249546_10010235_top_5B0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249546_10010235_top_5B0.gpr,X2007.08
GSM1249547_10010507_top_5B1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249547_10010507_top_5B1.gpr,X2007.08
GSM1249548_10010239_top_5B1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249548_10010239_top_5B1.gpr,X2007.08
GSM1249549_10011436_top_5B2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249549_10011436_top_5B2.gpr,X2007.08
GSM1249550_10011523_top_5B2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249550_10011523_top_5B2.gpr,X2007.08
GSM1249551_10010230_top_5B3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249551_10010230_top_5B3.gpr,X2007.08
GSM1249552_10010238_bot_5B3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249552_10010238_bot_5B3.gpr,X2007.08
GSM1249553_10011413_bot_5B4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249553_10011413_bot_5B4.gpr,X2007.08
